email_length,num_links,num_special_chars,sender_reputation,has_attachment,is_spam
498,4,15,27,0,1
746,2,7,29,1,1
577,5,13,50,0,1
476,2,12,31,0,1
551,3,13,37,0,1
661,4,19,67,1,1
515,2,14,36,0,1
476,0,13,62,1,0
636,0,21,51,0,1
636,2,19,51,0,1
523,2,21,57,0,1
529,1,17,64,0,1
634,3,18,58,0,1
382,2,12,28,1,1
388,1,5,52,0,0
492,4,10,53,1,1
567,0,18,30,0,1
646,0,20,61,0,0
821,1,13,82,0,1
728,4,16,32,0,1
576,1,17,55,0,1
597,3,16,78,0,1
449,0,19,36,0,1
597,4,15,41,0,1
556,0,25,62,1,1
648,3,21,58,1,1
475,2,18,58,1,1
677,1,21,56,0,1
829,0,17,36,0,1
583,1,12,74,0,0
660,2,22,49,0,1
703,2,10,46,0,1
539,5,9,40,1,1
633,3,15,65,0,1
601,3,22,47,0,1
614,1,13,40,0,1
484,1,17,54,1,1
603,0,13,74,1,0
674,5,18,42,0,1
817,2,16,58,1,1
743,1,16,72,1,1
922,1,10,48,0,1
484,5,17,62,0,1
730,2,16,105,0,1
627,3,13,82,0,1
928,1,11,51,0,1
478,3,17,73,0,1
474,6,10,69,1,1
510,5,19,27,0,1
281,2,13,52,1,1
521,3,15,79,1,1
486,1,8,63,0,0
622,3,18,35,0,1
651,4,16,50,0,1
881,2,18,41,0,1
742,0,30,63,0,1
513,2,12,34,0,1
465,0,13,35,0,1
673,2,20,41,1,1
401,1,17,46,1,1
874,3,16,37,0,1
776,1,22,57,1,1
529,6,12,65,0,1
343,1,17,57,0,0
803,3,12,55,1,1
582,5,16,31,0,1
785,1,19,51,1,1
360,0,17,58,0,0
510,1,11,59,1,1
600,1,8,55,0,1
607,2,11,37,0,1
532,0,18,44,1,1
693,2,16,39,1,1
439,1,8,56,1,1
578,1,16,55,0,1
618,3,21,46,1,1
677,1,16,82,0,0
706,1,14,68,0,1
431,2,14,34,0,1
369,1,11,61,0,0
791,1,13,68,1,1
649,3,20,50,1,1
487,3,22,62,0,1
832,2,9,83,0,1
617,1,9,56,1,1
776,0,19,49,1,1
610,2,16,19,0,1
909,1,12,23,1,1
863,2,6,46,0,1
562,3,12,52,0,1
745,6,16,38,0,1
696,0,14,22,1,1
805,1,19,79,0,1
455,2,12,45,0,1
702,1,18,51,0,1
758,1,16,30,0,1
336,5,13,62,1,1
422,1,18,67,1,1
294,3,19,52,0,1
559,2,11,42,0,1
707,2,7,62,0,1
825,1,15,43,0,1
611,2,12,77,0,1
844,0,12,55,1,1
392,0,18,29,0,1
344,2,18,72,0,0
591,2,16,53,1,1
657,2,19,57,0,1
595,2,11,58,0,1
289,0,13,57,1,0
586,2,15,44,0,1
404,2,10,25,1,1
700,1,13,54,0,1
654,2,14,51,0,1
459,3,16,42,0,1
522,5,21,40,0,1
441,5,17,24,0,1
590,3,12,64,0,1
743,1,17,54,0,1
452,2,7,55,0,1
675,1,13,38,1,1
520,3,14,65,0,1
481,1,9,53,1,1
583,2,21,62,1,1
444,0,12,55,0,0
516,3,16,43,1,1
420,1,19,46,1,1
894,1,20,59,0,1
605,1,15,60,1,1
495,1,15,47,0,1
632,1,21,73,1,1
583,3,13,35,0,1
566,3,16,39,0,1
692,3,15,33,0,1
713,1,9,55,0,1
520,0,20,63,0,0
513,4,14,61,0,1
558,1,12,52,0,1
254,4,11,53,0,1
372,2,18,48,0,1
805,1,20,68,0,1
846,4,11,52,1,1
562,4,10,47,0,1
686,4,13,69,1,1
646,4,9,52,1,1
1061,1,14,44,0,1
767,1,16,65,0,1
580,4,13,32,1,1
456,1,18,56,1,1
359,1,13,32,0,1
630,1,13,77,1,1
486,1,12,34,0,1
386,4,12,29,0,1
503,2,14,35,0,1
437,2,17,48,1,1
853,0,13,43,0,1
732,6,11,51,0,1
598,2,18,42,0,1
821,3,15,47,1,1
611,2,14,69,0,1
470,2,12,48,0,1
828,3,16,33,0,1
680,4,8,57,1,1
444,1,12,38,1,1
571,2,14,54,0,1
468,1,15,57,0,1
392,2,16,69,0,1
738,1,19,66,0,1
886,3,11,41,0,1
390,3,14,69,0,1
684,2,14,66,0,1
502,3,22,49,0,1
526,2,18,49,0,1
511,2,14,56,1,1
470,1,11,36,0,1
607,3,16,32,0,1
475,1,14,20,0,1
640,3,14,60,0,1
592,0,13,47,0,0
564,3,18,73,1,1
463,4,12,46,1,1
513,1,13,37,0,1
713,0,12,54,0,0
675,1,15,41,0,1
453,3,11,66,0,1
614,4,15,68,0,1
712,2,18,42,1,1
349,0,13,64,0,0
681,4,12,56,0,1
500,3,14,53,0,1
685,2,16,34,0,1
485,3,11,46,1,1
329,1,15,38,0,1
355,1,12,57,0,0
607,1,19,45,1,1
638,2,28,25,0,1
464,3,13,39,0,1
695,2,11,40,0,1
350,2,20,69,0,1
590,3,16,70,0,1
418,3,18,50,0,1
502,3,17,57,0,1
607,4,16,75,1,1
470,1,12,52,0,1
542,1,16,63,1,1
750,2,19,61,0,1
513,1,17,37,0,1
725,0,9,64,1,1
430,0,17,56,0,0
679,3,8,54,0,1
816,0,12,71,1,1
229,1,16,57,0,0
480,2,8,63,1,1
686,2,18,42,0,1
569,2,12,48,0,1
655,2,11,54,0,1
509,1,11,40,0,1
612,1,19,55,0,1
576,5,15,53,0,1
775,2,20,33,0,1
638,2,15,71,0,1
650,4,8,39,1,1
538,2,12,45,1,1
526,0,15,36,0,1
535,1,10,73,1,1
659,1,12,33,0,1
536,1,18,63,0,1
643,0,17,44,1,1
911,3,13,67,0,1
730,2,10,37,0,1
551,2,13,61,0,1
780,2,11,47,0,1
538,3,14,39,1,1
294,1,11,30,1,1
448,6,16,73,0,1
319,2,16,68,1,1
547,2,15,65,0,1
602,0,19,47,0,1
851,3,11,44,1,1
649,1,11,50,1,1
567,2,13,53,0,1
724,2,8,69,0,1
268,1,23,56,0,0
635,1,15,51,0,1
715,4,13,45,0,1
378,4,12,39,1,1
771,5,17,48,1,1
650,5,14,58,0,1
537,0,15,64,1,0
694,2,13,26,1,1
940,1,13,46,0,1
627,2,15,40,0,1
637,3,10,39,0,1
531,2,16,25,0,1
472,4,20,62,0,1
724,1,13,50,1,1
471,1,13,57,1,1
610,1,21,51,1,1
528,4,21,73,1,1
671,2,27,55,0,1
650,2,9,67,0,1
755,4,22,68,1,1
523,3,16,61,0,1
559,1,15,58,0,1
453,0,16,75,0,0
533,3,11,65,0,1
656,1,8,58,0,1
713,4,16,43,0,1
461,0,14,42,1,1
730,3,20,75,1,1
803,2,17,29,0,1
662,3,15,43,0,1
881,1,15,57,0,1
483,3,17,69,1,1
413,2,13,61,0,1
333,2,14,62,0,1
824,1,11,56,0,1
698,1,11,44,0,1
591,2,13,79,0,1
641,0,11,65,0,0
431,1,16,51,0,1
966,1,10,47,1,1
619,2,14,67,0,1
616,3,16,33,1,1
708,1,22,47,1,1
672,1,16,52,0,1
633,1,13,42,0,1
481,2,14,41,0,1
670,2,14,59,0,1
882,1,19,35,0,1
801,5,18,33,1,1
838,2,13,20,1,1
523,2,20,39,0,1
451,4,11,57,0,1
581,1,15,59,1,1
608,4,16,35,0,1
764,0,16,69,0,0
346,4,16,31,0,1
829,2,15,43,0,1
576,1,8,69,1,1
535,3,15,41,0,1
448,1,21,50,1,1
351,1,11,51,0,0
723,1,18,55,1,1
610,0,20,38,1,1
406,2,15,86,0,0
405,2,11,45,0,1
549,0,22,52,0,0
850,2,13,24,1,1
561,0,11,56,0,0
374,4,15,41,0,1
563,3,11,45,0,1
559,2,14,56,1,1
195,2,15,71,0,0
591,1,26,58,0,1
565,2,13,69,0,1
704,0,19,44,0,1
877,1,13,37,0,1
768,1,13,45,0,1
559,2,8,32,0,1
434,2,17,52,1,1
986,2,13,42,0,1
608,5,14,36,1,1
602,0,11,55,0,0
596,3,15,39,0,1
629,1,19,66,1,1
578,1,13,61,0,1
513,0,14,83,0,0
517,2,14,16,0,1
595,0,18,49,1,1
518,4,17,49,0,1
493,1,14,21,0,1
615,2,11,16,0,1
561,4,13,80,0,1
825,2,18,32,0,1
202,1,16,37,1,1
763,2,18,44,1,1
786,0,13,51,0,1
288,0,8,48,1,0
548,3,16,52,1,1
544,1,24,68,0,1
388,1,11,49,0,1
483,3,15,22,1,1
433,1,15,48,0,1
862,2,13,45,0,1
740,0,18,71,1,1
790,2,15,38,0,1
708,3,16,57,0,1
430,2,19,43,0,1
521,1,16,40,1,1
673,4,15,43,0,1
416,1,20,64,0,0
706,1,11,52,0,1
563,4,19,18,0,1
543,1,15,52,0,1
706,1,12,47,0,1
666,1,13,48,0,1
545,0,10,30,1,1
773,3,8,32,0,1
437,0,21,40,0,0
692,3,16,37,0,1
688,1,12,50,1,1
553,4,18,39,0,1
648,2,9,58,0,1
412,0,11,55,0,0
738,0,23,56,0,1
572,0,7,57,0,0
521,2,13,40,0,1
757,2,25,54,1,1
494,0,17,44,1,1
388,0,18,47,1,1
366,3,20,34,1,1
690,3,12,24,0,1
407,2,19,52,1,1
863,3,20,50,1,1
287,1,16,58,0,0
854,3,21,54,1,1
631,3,15,36,0,1
585,1,19,53,0,1
518,4,12,45,1,1
659,0,13,45,1,1
594,3,12,63,0,1
765,1,12,44,0,1
617,2,12,53,0,1
622,2,10,50,0,1
545,3,15,38,0,1
591,2,15,47,0,1
646,2,12,33,0,1
343,3,9,35,1,1
397,1,13,33,0,1
711,2,17,68,0,1
625,2,15,68,0,1
572,0,12,56,0,0
602,3,18,35,0,1
652,1,5,40,1,1
519,1,17,54,0,1
483,1,15,59,0,1
629,2,14,59,0,1
453,4,17,56,0,1
661,5,16,56,1,1
344,1,18,41,0,1
754,1,16,50,1,1
670,1,16,62,0,1
638,3,14,6,1,1
747,4,11,61,0,1
849,2,15,82,0,1
752,1,24,33,0,1
323,3,10,45,0,1
408,1,15,64,0,0
506,1,14,61,1,1
603,3,24,23,1,1
677,1,15,25,0,1
491,4,22,57,1,1
628,0,6,32,0,1
486,3,17,28,0,1
508,3,16,52,0,1
389,0,12,65,1,0
461,4,18,50,1,1
397,2,14,53,0,1
453,4,15,50,0,1
758,4,21,46,0,1
457,0,15,78,0,0
994,3,13,50,0,1
673,1,18,42,1,1
627,3,17,61,0,1
471,4,15,56,0,1
705,0,17,64,0,0
513,2,11,64,0,1
618,3,12,76,0,1
984,1,12,36,1,1
585,0,10,53,0,0
772,3,14,40,1,1
494,1,17,23,0,1
594,3,15,63,1,1
865,3,11,44,0,1
505,1,8,73,0,0
871,0,17,37,0,1
706,2,19,45,0,1
515,4,14,64,1,1
694,2,15,34,0,1
745,3,20,29,0,1
693,1,13,61,0,1
364,1,20,50,0,1
490,1,15,27,0,1
562,1,22,42,1,1
588,1,20,42,0,1
693,2,17,49,0,1
626,3,17,42,0,1
399,4,14,84,0,1
657,3,11,48,0,1
691,2,19,55,0,1
683,4,14,62,1,1
762,0,15,30,0,1
725,1,8,64,0,1
668,2,17,47,1,1
589,3,22,62,0,1
350,3,10,32,0,1
664,1,18,64,0,1
631,2,11,53,1,1
640,2,14,76,1,1
408,3,16,66,0,1
437,0,6,46,0,0
757,0,18,43,0,1
594,3,13,34,0,1
702,3,15,65,0,1
604,3,10,29,1,1
604,2,20,27,0,1
740,3,17,44,0,1
522,2,17,76,0,1
614,1,23,37,0,1
530,2,17,65,1,1
534,1,18,50,0,1
553,1,15,43,0,1
633,5,12,66,1,1
528,0,17,63,0,0
788,2,17,39,0,1
465,2,8,50,0,1
571,0,17,59,0,0
534,1,18,66,0,0
817,3,11,36,1,1
629,2,13,40,1,1
754,2,20,57,0,1
377,0,13,50,0,0
640,2,16,58,0,1
733,2,18,18,1,1
612,0,12,60,1,1
759,2,16,55,0,1
522,1,14,23,0,1
811,3,14,41,0,1
944,2,17,41,0,1
545,0,8,64,0,0
533,2,20,48,1,1
818,1,18,64,0,1
836,4,23,40,0,1
521,2,20,36,0,1
536,2,19,45,0,1
557,3,17,64,0,1
398,5,18,58,0,1
462,0,16,44,0,0
449,2,13,67,1,1
484,2,9,51,0,1
594,1,15,44,0,1
635,0,17,60,1,1
832,4,14,55,0,1
450,1,19,42,0,1
747,2,16,55,0,1
567,6,10,72,0,1
592,0,13,48,0,0
701,0,15,53,1,1
431,0,15,60,0,0
657,3,18,65,1,1
624,2,14,58,0,1
673,4,18,65,0,1
643,0,11,46,0,1
968,3,14,56,0,1
504,0,8,53,1,1
520,4,13,43,0,1
506,1,17,53,0,1
516,1,15,50,1,1
504,2,13,45,0,1
778,4,15,46,0,1
813,2,10,49,0,1
514,2,21,56,0,1
475,5,8,25,0,1
670,3,17,54,0,1
517,1,11,34,0,1
694,2,20,72,0,1
630,5,14,20,0,1
372,3,20,59,1,1
832,0,15,24,0,1
869,1,14,60,0,1
508,3,13,56,0,1
541,5,13,42,0,1
642,5,20,67,1,1
650,0,17,34,1,1
698,1,11,42,1,1
901,4,19,56,0,1
573,2,14,76,1,1
480,2,11,62,0,1
393,0,8,55,0,0
490,1,22,64,0,1
595,2,12,54,1,1
869,1,17,58,0,1
522,1,10,51,0,1
633,5,16,49,0,1
597,1,18,50,0,1
778,1,12,34,0,1
979,0,13,34,0,1
520,0,19,57,0,0
526,3,23,51,0,1
756,0,14,24,0,1
702,3,12,54,0,1
877,2,13,55,1,1
687,1,18,15,0,1
546,0,10,56,1,1
688,3,12,69,0,1
766,1,12,32,0,1
723,1,13,69,0,1
676,3,20,50,0,1
760,2,13,56,0,1
775,1,16,50,1,1
807,1,16,47,0,1
697,1,13,39,1,1
574,1,10,60,0,1
622,0,26,54,0,1
780,1,12,20,0,1
477,2,16,63,0,1
655,1,22,41,0,1
540,3,15,54,0,1
604,2,12,63,0,1
791,3,15,43,0,1
628,1,18,38,0,1
606,1,11,50,0,1
396,2,14,62,1,1
711,1,15,47,0,1
696,0,17,60,0,0
924,2,11,26,0,1
553,2,19,50,0,1
632,1,19,71,0,1
637,2,12,37,0,1
836,3,11,22,1,1
585,5,15,39,0,1
641,1,15,57,0,1
691,3,18,38,0,1
627,3,9,40,0,1
533,0,22,41,0,1
629,1,16,82,1,1
761,1,13,51,0,1
446,4,11,66,0,1
619,2,20,61,0,1
494,1,16,60,0,1
779,1,13,59,0,1
371,2,11,48,0,1
516,2,12,55,1,1
656,1,16,67,1,1
834,2,20,64,1,1
590,5,23,34,0,1
516,1,19,48,1,1
882,3,18,52,1,1
382,1,16,27,1,1
270,1,21,38,1,1
666,3,19,54,0,1
524,1,23,16,1,1
446,1,17,43,0,1
706,1,19,50,0,1
636,2,22,63,0,1
515,1,20,64,0,1
407,2,19,44,0,1
730,3,20,33,1,1
697,1,16,33,0,1
585,1,18,72,0,0
876,3,16,59,0,1
439,1,26,7,0,1
371,2,18,77,0,0
496,3,14,60,0,1
593,2,14,50,0,1
636,6,15,56,0,1
563,1,17,43,0,1
652,2,13,55,0,1
412,1,17,42,0,1
816,2,19,56,0,1
587,2,22,27,1,1
767,4,17,47,0,1
651,2,15,64,0,1
668,0,15,46,0,1
685,4,20,49,0,1
667,3,17,33,1,1
696,3,16,66,0,1
799,4,15,43,0,1
629,1,17,58,0,1
706,3,21,34,0,1
586,2,21,24,0,1
816,1,12,48,1,1
498,2,20,49,1,1
870,3,15,24,0,1
593,1,12,42,1,1
385,3,14,51,0,1
619,4,18,47,0,1
497,0,10,48,0,0
726,2,14,40,1,1
502,2,21,37,0,1
533,1,13,41,0,1
316,3,16,46,1,1
532,1,16,37,0,1
236,1,17,61,1,1
362,0,11,30,0,0
714,1,8,56,0,1
717,1,12,45,0,1
663,2,12,69,1,1
454,2,8,68,0,1
592,2,17,72,0,1
599,2,7,63,0,1
426,1,15,44,0,1
825,1,16,44,0,1
731,4,16,70,1,1
566,5,17,38,1,1
604,3,20,62,0,1
631,3,13,79,1,1
293,0,8,43,0,0
562,1,11,53,0,1
497,3,11,32,1,1
449,1,17,47,0,1
557,1,20,29,0,1
869,1,15,39,1,1
696,1,13,46,0,1
514,2,19,64,0,1
685,4,14,60,0,1
809,2,16,34,0,1
738,1,13,60,0,1
608,1,13,25,0,1
502,3,13,54,0,1
704,2,15,0,0,1
659,2,11,42,0,1
734,4,17,48,0,1
695,2,18,67,1,1
757,2,15,77,1,1
519,2,14,37,0,1
797,1,15,77,1,1
629,1,15,47,0,1
911,1,12,23,0,1
496,3,16,20,1,1
860,1,17,55,0,1
629,3,15,58,0,1
502,0,18,65,1,0
527,1,18,43,1,1
551,2,17,51,0,1
663,1,13,44,0,1
678,3,13,61,0,1
513,3,14,72,0,1
596,0,13,66,0,0
921,1,21,49,0,1
859,2,10,56,0,1
665,2,16,52,0,1
605,2,7,30,0,1
618,2,17,41,0,1
692,4,12,70,0,1
446,3,7,66,0,1
561,4,22,87,1,1
349,4,20,40,0,1
659,2,14,41,0,1
697,0,15,59,0,0
527,0,13,67,0,0
836,3,23,43,0,1
416,1,14,23,0,1
380,3,15,54,0,1
633,2,14,37,0,1
757,1,13,39,1,1
852,3,14,59,0,1
531,3,13,51,0,1
761,4,10,43,0,1
594,1,27,24,1,1
574,3,14,39,0,1
732,2,14,65,0,1
697,2,17,31,1,1
363,2,18,37,0,1
821,4,13,66,0,1
807,2,12,65,1,1
506,2,12,36,0,1
659,4,9,53,1,1
674,5,21,61,0,1
639,1,21,62,0,1
517,1,14,36,0,1
499,1,18,45,0,1
596,5,15,91,0,1
775,2,15,66,1,1
681,3,21,60,1,1
544,1,18,73,0,0
715,3,16,61,0,1
172,3,14,36,0,1
772,8,17,34,1,1
339,4,12,21,1,1
545,3,20,56,1,1
432,3,16,62,0,1
405,3,17,72,0,1
774,3,15,52,0,1
529,3,14,39,1,1
651,5,15,39,0,1
592,0,14,57,0,0
671,2,14,31,0,1
611,1,15,31,0,1
407,2,17,54,0,1
749,4,13,75,0,1
525,2,20,56,1,1
366,2,9,43,0,1
535,2,16,61,0,1
825,3,22,52,0,1
727,2,12,61,0,1
547,3,18,14,1,1
547,3,12,56,0,1
551,1,14,54,0,1
911,0,14,92,1,0
657,0,17,57,1,1
664,1,15,55,1,1
754,2,14,36,0,1
635,1,14,38,0,1
561,2,17,20,0,1
570,1,12,37,1,1
589,0,17,56,0,0
594,2,16,49,0,1
709,1,13,54,0,1
607,2,15,52,1,1
709,1,16,20,0,1
587,1,16,73,0,0
611,1,18,54,0,1
300,4,14,39,1,1
737,3,17,37,0,1
651,0,9,49,1,1
749,1,14,0,1,1
165,3,15,10,1,1
913,2,13,59,0,1
579,2,16,55,0,1
766,4,15,41,0,1
444,0,9,78,0,0
691,3,14,53,0,1
441,1,10,64,0,0
506,2,17,69,1,1
887,7,9,53,1,1
571,2,8,89,0,0
632,3,17,45,1,1
730,3,11,52,0,1
674,1,15,68,0,1
622,4,9,70,0,1
654,2,18,55,0,1
960,1,9,43,0,1
591,4,13,39,0,1
630,4,17,18,1,1
757,1,10,42,0,1
765,2,11,41,0,1
778,1,13,29,0,1
695,0,17,28,1,1
428,1,13,54,1,1
845,1,10,52,0,1
428,2,25,60,0,1
645,3,18,17,0,1
486,3,18,25,0,1
590,0,18,76,0,0
649,1,17,69,1,1
648,1,14,34,1,1
663,3,11,38,0,1
842,2,16,64,0,1
668,0,15,49,0,1
563,0,16,26,1,1
744,2,14,29,0,1
778,2,11,38,0,1
415,1,26,31,1,1
689,2,17,58,0,1
705,1,15,47,0,1
555,0,18,57,1,1
806,1,11,47,0,1
577,1,7,44,1,1
618,1,23,47,0,1
574,3,16,44,0,1
602,5,18,35,0,1
435,0,16,37,0,0
383,0,16,79,1,0
839,2,9,5,0,1
472,2,12,69,0,1
451,3,13,55,0,1
276,1,15,50,0,0
504,4,11,53,1,1
401,2,23,81,0,0
846,0,21,60,1,1
751,4,14,50,1,1
496,3,12,24,0,1
937,3,15,57,0,1
747,0,13,60,0,0
551,4,12,51,0,1
